make_id,make_name,model_id,model_name
474,Honda,30374,SXS520
474,Honda,30382,ATC350X
474,Honda,30468,ATC250
474,Honda,30813,CM400
474,Honda,30815,VF700S (Sabre)
474,Honda,30816,VF700F (Interceptor)
474,Honda,31535,Civic Type R
474,Honda,31564,XR150L
474,Honda,31581,NU50
474,Honda,31582,NC50
474,Honda,32049,XR350R
474,Honda,32079,SCL500
474,Honda,32124,ADV160
474,Honda,33174,Prologue
474,Honda,33193,NCW50/Giorno
474,Honda,33257,CRF230L
474,Honda,33258,CRF230M
474,Honda,33259,CRF230F
474,Honda,33279,CRF125F
474,Honda,33280,CRF125FB
474,Honda,33281,CRF150F
474,Honda,33282,CRF150R
474,Honda,33284,CRF150RB
474,Honda,33285,CRF250L
474,Honda,33286,CRF250R
474,Honda,33287,CRF250X
474,Honda,33288,CRF50F
474,Honda,33289,CRF110F
474,Honda,33290,CRF450R
474,Honda,33291,CRF450X
474,Honda,33292,CRF250RX
474,Honda,33293,CRF250F
474,Honda,33294,CRF450RX
474,Honda,33296,CRF450RWE
474,Honda,33297,CRF1000A
474,Honda,33298,CRF1000D
474,Honda,33299,CRF1000LA
474,Honda,33300,CRF1000LD
474,Honda,33301,CRF150RE
474,Honda,33302,CRF150RBE
474,Honda,33303,CRF250RB
474,Honda,33304,CRF450RB
474,Honda,33306,CRF250RL
474,Honda,33307,CRF250RLA
474,Honda,33308,CRF250LA
474,Honda,33309,CRF300LR
474,Honda,33310,CRF450RL
474,Honda,33311,CRF1100D
474,Honda,33312,CRF1100A
474,Honda,33313,CRF1100A4
474,Honda,33314,CRF1100D4
474,Honda,33315,CRF1000A2
474,Honda,33316,CRF1000D2
474,Honda,33317,CRF11004D
474,Honda,33318,CRF11004
474,Honda,33319,CRF450L
474,Honda,33320,CRF1100LD
474,Honda,33321,CRF1100L
474,Honda,33322,CRF1100L4D
474,Honda,33323,CRF1100L4
474,Honda,33324,CRF1000AS
474,Honda,33325,CRF1000ASD
474,Honda,33499,XR650L
474,Honda,33502,CBR125R
474,Honda,33503,CBR600RR
474,Honda,33504,CBR600RA
474,Honda,33505,CBR500R
474,Honda,33506,CBR500RA
474,Honda,33507,CB500FA
474,Honda,33508,CB500F
474,Honda,33509,CB500XA
474,Honda,33510,CB500X
474,Honda,33511,CBR650F
474,Honda,33512,CBR650FA
474,Honda,33515,CBR1000RR
474,Honda,33516,CBR1000RA
474,Honda,33517,CBR1000S
474,Honda,33518,CB1000R
474,Honda,33519,CB1000RA
474,Honda,33520,CB1100A
474,Honda,33521,CB1100SA
474,Honda,33522,CBR250R
474,Honda,33523,CBR250RA
474,Honda,33524,CBR300R
474,Honda,33525,CBR300RA
474,Honda,33526,CB300F
474,Honda,33527,CB300FA
474,Honda,33532,CB650F
474,Honda,33534,CBF300N
474,Honda,33535,CB300R
474,Honda,33536,CBR650R
474,Honda,33537,CB650R
474,Honda,33585,XR650LL
474,Honda,33591,CTX700N
474,Honda,33603,CBR650RA
474,Honda,33604,CB650RA
474,Honda,33632,ST1100L
474,Honda,33633,ST1100AL
474,Honda,34007,NX500
474,Honda,34886,Montessa Cota 4RT
474,Honda,35111,DAX125
